slug,id,grantee,grant_category,entity_type,organization,project_name,focus_area,grant_amount,project_cost,description_short,description_long,start_date,end_date,goals,economic_impact,social_impact

Guests arrive on time for the first act and stay for the entire show. During the music, there is full attention: no talking or texting. You get up close and personal with the artists! Theres no backstage here, so chat with them, get to know them, and even get a drink with them after.

Sometimes, we get big-name acts such as Grammy Award Winning Artist, Ed Sheeran drop in to perform, but most musicians are unknown up-and-comers from Sacramento and the surrounding areas. This means audiences are sure to hear something completely new  and new musicians are guaranteed a room full of attentive listeners.  We are also activating spaces/ business through our curated experiences bringing in 50 to 150 people into their space. For business it is built in advertising which is priceless in a time when face to face human interaction is a rarity. We are already activating businesses , places and spaces throughout the city on a monthly basis . Project Activate Sacs goal is to activate Districts and areas of the city we love who might not get as much activation. Sofar Sounds Sacramentos project  Activation Sacramento will focus on a specific district working with its Pbids and Council members for a 12 month time period activating a new location within that district each month with our unique pop up live music  experiences.
",11/1/17,," Activation SAC will be successful through its power of connection. Connecting the global music built into the current Sofar Sounds global network with local business and community organizations, Sofar Sounds Sacramento has the ability to create opportunities for local artists to grow globally, local businesses to build their branding and marketing with 50-150 people who attend each event, and attract a global community to Sacramento for business and recreation. At each event, we will attract 50-150 people, connecting community with Sacramento businesses and community organizations. We will track the amount of people at each event.
"," When people want to spend an evening out, they are usually willing to travel to the neighborhoods that have the largest percentage of businesses that will cater to their needs i.e restaurants, music venues etc. Creating spaces like these in any neighborhood , Sofar Sounds is able to re-direct an audience of people looking for entertainment into new spaces, new businesses and new neighborhoods.  Sofar Sounds has a scalable model and could move from doing 2 shows a month to 25 shows, which would employ a significant number of Sacramento residents  to support those events."," The projects global-local connection is evident, and should not be understated. One area that were intentional about excelling in Sacramento is sharing our regions artistic diversity. Were committed to putting together diverse lineups that reflect our diverse Sacramento community, and throwing our events in neighborhoods that dont typically have access to arts institutions and funding. We are dedicated to give opportunities to the youth in Sacramento through internships and freelance work. We have had our team of young photographers of color published in local news articles. This is a real world skill and opportunity that many local photographers dont get. "

help-local-music-and-art-magazine-submerge-grow,96,Jonathan Carabba,Microgrant ($5k),Business,Submerge Magazine ,Help local music and art magazine SUBMERGE grow!,"Performing Arts/Music, Underserved Communities, Marketing/Communications, Other (We need more news boxes to help reach new readers around the city to engage them with our high-quality music/art/lifestyle coverage.)","$5,000.00 ","$5,000.00 ","Submerge, Sac's free biweekly arts & entertainment mag, needs more news boxes to reach and engage more readers around the city. ","Submerge Magazine is a well-established, highly-regarded, locally owned publication that extensively covers Sacramento-area music, art, food, comedy, events, entrepreneurs, nightlife and more. We already reach and engage with thousands of readers every issue, but we need help to grow and reach NEW readers in MORE parts of the city.

If awarded a micro-grant, we will use the money to purchase approximately 15 to 20 brand new outdoor news boxes that we will then put out in strategic locations around the city: neighborhood hot spots, near venues, coffee shops and eateries, as well as bus stops, light rail stops, etc. Some areas we want to target and expand our magazine distribution into include: Oak Park, South Sacramento, Del Paso, Natomas, and a number of Downtown and Midtown neighborhoods where we currently do not have news stands or news boxes placed.

Submerge regularly publishes articles and write-ups on both national artists/musicians/etc that are touring through our region, as well as local artists/musicians/etc that are making waves in the regional scene and need outlets like ours to tell their stories. Every article we run plugs the subject's show or performance in the Sacramento-area, thus driving traffic to local venues, galleries and more.

If we can get more news boxes regularly stocked with copies of Submerge into new areas of the city, we can actively reach new readers with our arts and entertainment coverage, which will encourage them to attend more concerts, art exhibits, try new restaurants, check out new events and more.

In addition to all of that, expanding our magazine's distribution into new areas of the city also greatly benefits our many local contributors (writers and photographers that we hire) because it will get them and their work more exposure. We hire both experienced journalists and photographers, as well as young, up-and-coming contributors that need an outlet like ours to hone their craft.

Also, if we can reach new readers in new areas of the city, we can potentially find new artists, musicians, entrepreneurs, etc. that we can eventually feature in the pages of Submerge. The more people that are aware of the important arts coverage we do, the better it is for the city as a whole. ",11/1/17,6/1/18,"We constantly track how many magazines are being picked up from every one of our distribution locations. If awarded a grant, the new news boxes that we will put out around the city will also be carefully tracked, watched over and taken care of. If for some reason a certain new distribution location was not performing up to our standards, we could always move said news box to a different location and then track its performance. We handle the distribution of our publication in-house, so we are very hands-on with every aspect of our magazine's creation and distribution. ","When people read Submerge and learn about upcoming events, performances, etc., they then go spend money locally to buy tickets, attend events, purchase merchandise from artists, etc. Every article we run has some sort of local tie-in that encourages readers to attend local venues, art galleries, and to actively engage with Sacramento's creative culture. We also work with dozens of local businesses, brands and event promoters on advertisements in our paper, so the more eyes that see their ads in new areas of the city, the more business they get. ","The arts and entertainment content that Submerge regularly puts out is literally for anyone and everyone of all ages who are interested in Sacramento's creative offerings. We cover ALL genres of music (from country to hip-hop, rock to jazz), MANY styles of art (from street art to fine art, photography to sculpture), and we also write about restaurants (from high-end, farm-to-fork eateries to local hole-in-the-wall joints) as well as upcoming events, festivals and fun things happening around town that we think our readers should know about. "

5th-annual-sacramento-black-book-fair,97,David L Covin,Grant ($25k),Nonprofit,The Black Group,5th Annual Sacramento Black Book Fair,"Performing Arts/Music, Multipurpose Spaces, Youth/Education, Cultural Equity, Underserved Communities, Other (literacy)","$10,000.00 ","$80,000.00 ",The Sacramento Black Book Fair celebrates Black literature  along with related cultural productions such as music and art.,"The Fifth Sacramento Black Book Fair, June 1st & 2nd, 2018,  culminates a year-round project  including community read-ins throughout Sacramento, focusing on children's literature, but also including adult literature .  The Read-ins are held and sponsored by public and private schools (primarily, but not exclusively preschool - 8), community centers, book stores, book clubs, and other venues throughout the city, such as  faith-based settings.

The Book Fair itself takes place in the heart of Oak Park, and is centered around six venues: The Guild Theater, The Brick house Gallery, the Women's Civic and Improvement Club, Underground Books, the Alpha Kappa Alpha House, and one closed block of 36th St.  All events, including the read-ins mentioned above, are free and open to the public.  The Book Fair begins with a reception at Underground Books, followed by an evening program in The Guild Theater.  There is a follow-up reception at the Brick House Art Gallery.  The evening program highlights featured writers.  They constitute a panel which discusses important themes for Black literature.  For example, the theme for panelists during the 4th Book Fair was centered around each author's consideration of the meaning of ""Black Books Matter"".  The panelists' opening remarks are followed by an hour of spirited exchanges between the authors and those in attendance.  For the 5th Fair, authors will address the significance of the legacies of Black Books for authors and  writers.  The purpose of this specific application is to fund the participation of major national and/or international Black writers.

The featured writers are not the only writers in attendance.  Local authors, authors from throughout Northern California, the entire state, the country, and  abroad, attend.  In the past the number of participating authors has ranged from 70 - 120.  For the Fifth Fair, we intend to reduce the number to 60 or below, because we have discovered that by reducing the number of authors we increase the exchange  between writers and the public.  Throughout Saturday (9 AM - 7 PM), things  start off with a walk around the neighborhood (The Book Parade), featuring local high school bands, followed by chats with authors in various venues, each lasting 75 minutes, including lectures  at the Guild.  The block of 36th Street is closed for live music and a wide range of cultural vendors.  There are related art displays in the venues. The Bulk of one venue is devoted to children's activities.
",6/1/18,6/2/18,"We rely heavily on volunteered information from participants, observations made by the Planning Committee, information transmitted via social media, and we hold an extensive review of the program during July.","We estimate in terms of books and other items sold, patronizing of local restaurants, hotels, advertising, and payments to local sites, a total of $16,000 -$20,000.","The project brings a lot of attention to the targeted area, engages people intellectually and culturally, really stimulates wide spread interaction and cultural activity.  It is simply a joyous event.  The most popular and influential activity consists of The Children's Zone, held at the Brick house Gallery."

thriving-in-sacramento-s-creative-economy,118,Kellie Dockendorf,Microgrant ($5k),Nonprofit,"LifeSTEPS, Life Skills Training and Educational Program",Thriving in Sacramento's Creative Economy,Marketing/Communications,"$5,000.00 ","$14,132.00 ",Six workshops developed for First Friday Art Walk artists to gain skills they need to market their artwork and grow their customer base.,"Since launching September 2015 The First Friday Art Walk has developed the R Street Historic Corridor into a destination for art enthusiasts.  Each month patrons enjoy strolling through open artist studios, some of which also serve as home for the residents at the Warehouse Artist Lofts (WAL). A diversity of art is displayed and for sale; but unfortunately, connecting with paying customers is in short supply and artists are not achieving a sustainable economic return on their investment of time and resources. As a 501 (C) 3 non-profit agency dedicated to building resilient communities, LIfeSTEPS would like to provide First Friday artists the opportunity to gain the skills they need to grow successful creative businesses.

LifeSTEPS provides supportive services to over 300 low income housing properties throughout California, one of which is the WAL on R Street. A recent needs survey of WAL residents revealed over 75% would like to gain marketing skills to help them grow their creative businesses into a source of sustainable income. Today's artists undertand they need more than talent to be successful in a competative marketplace.

To support creative business growth  LifeSTEPS is proposing a series of six workshops developed for First Friday Art Walk artists (and by successful artists) that will present topics significant to build their marketing skill set.

The workshops will be designed in collaboration with Sarah Marie Hawkins, founder of Menagerie, a local non-profit specializing in art promotion. Ms. Hawkins has coached numerous emerging artists with strategies to build a customer base and has organized pop-up art galleries to help market their art. The ""Thriving in the Creative Economy"" project will be managed by LifeSTEPS' Director of Social Services at WAL, and faciliated by Ms. Hawkins. Each workshop will be open to any artist who wants to participate in the First Friday Art Walk.
Workshop topics will include:
Creative Business Goal Planning
Print Marketing and Promotional Strategies for Customer Development Technology for Creative Businesses: Website Creation and Maintenance (using Squarespace)
Building a Website Profile Page
Growing your Business through Social Networking
Photography for Marketing Art
Retail Strategy / Pricing and Cost analysis.
Ms. Hawkins has committed to offer any artist who completes all six workshops a no-cost head shot photo session. (valued at $500)

This project highlights well our LifeSTEPS' mission to maximize the strengths of individuals and we look forward to doing our part to serve Sacramento's creative community.

",1/15/18,4/15/18,"Self-assessment surveys will be given to workshop participants: one at the first workshop to measure their desired outcomes from the project series, the second survey to be taken at the completion of the sixth workshop to measure if the participants desired outcomes were met and the third will be a follow up survey sent to applicants electronically to measure economic outcomes of success for their individual creative endeavors.
Overall, this project will be successful if a majority of participating artists have experienced an increase in income from the purchase of their artwork during the First Friday Art Walk event. ","LifeSTEPS' Thriving in Sacramento's Creative Economy project has the economic potential to have many layers of impact on the local economy and in particular the R street Corridor. First Friday Art Walk artists will aquire skills that will grow their customer base, resulting in increased art sales. Their personal income gains increase their purchasing power which is often spent close to home in neighborhood cafes. More significantly, an increase in income creates housing  stability for both individuals and families. When more citizens are secure economically it benefits all of Sacramento's neighborhoods, businesses and puts less strain on City services.  ","The majority of career artists are working long hours for little economic reward. Artistic communities are typically groups of people who struggle to find affordable housing, experience food insecurity and are often unable to care for basic needs like health care. Providing opportunities for artistic communities to learn skills to help move them toward self-sustainable career paths will alleviate a host of inequities that definitely have social consequences. "

sacramento-create,133,Sheree Meyer,Grant ($25k),Public Agency,"California State University, Sacramento College of Arts & Letterts",Sacramento CREAtE,"Performing Arts/Music, Youth/Education, Cultural Equity, Underserved Communities","$24,539.00 ","$36,097.00 ","CREAtE: Community revitalization, economic advancement through entertainment. Arts and music--vehicles for racial healing & self-resilience.
","Sacramento CREAtE (Creative Revitalization and Economic Advancement through Entertainment): The arts and music are powerful tools that transcend language, culture and diversity and are vehicles that can impact community economic and social development.

The College of Arts and Letters at Sacramento State (specifically, the School of Music and Department of Theatre and Dance) in collaboration with Sacramento District 6 residents will host a series of two performances featuring Sacramento State students and faculty with guest roles inclusive of community racially and ethnically diverse artists.   The events are designed with dual purposes: 1) to provide entertainment as well as performing arts and music experiences for community members (which has the potential of long term social impact on the community); and 2) to attract a larger public  (paying) audience from the greater Sacramento region for the purpose of building better understanding and appreciation for culturally diverse performance delivered in District 6 (which has the potential of long term economical impact based on the arts).

A total of two productions will be staged with one dress rehearsal and one performance each.  Each event will be broadly advertised in the local community with seats reserved for the final dress rehearsal at the George Sim Center followed by a live performance held in one of several District 6 performance venues.

Each event will follow a prescribed template that ensures time for creative artistic discussion for the purpose of developing art appreciation and understanding, as well as empathy and compassion about works of and the artists while also engaging the audiences in active critical dialogue about race and racial truths based on the arts (for local District 6 attendees this is particularly important in developing community pride and self-resilience); and for  attendees from the greater Sacramento region the pre-event and post-event workshops help in developing interest, understanding, and appreciation for what District 6 as a community can offer (this has the potential of translating into regular paying art subscribers who value the arts performed by culturally diverse communities and recognize this art as equitably akin to performances attended in currently more recognized Sacramento venues).  The proposed dialogues are anticipated to begin the process of eliminating
stereotyping and heightening expectations.

Each event will have: 1).  a pre-event workshop (which will give an overview along with background about the performance/showing); 2).  the event; and 3).  a de-briefing following the event (Q&A/discussion featuring the performers).

",10/1/17,8/31/18,"Pre- and post-event surveys will be administered.   The questions will reflect the projects objectives.   It is anticipated that there will be a positive correlation between the audiences exposure to the performance and exposure to pre-event information.  In other words the survey findings will show greater understanding and appreciation for the diversity of artists and the performances based on the pre- and post- event workshops.

Additionally, it is anticipated that the number of attendees from the greater Sacramento Region will increase with each new performance, which is another measure of Sacramento CREAtEs success (more specifically potential economic impact).
","Sacramento CREAtE has the potential of helping the District 6 community establish itself as a recognized location to which paying subscribers  from the greater Sacramento Region come for performing arts and music events.  The projects planned performances delivered in collaboration with Sacramento States School of Music and Department of Theatre and Dance, and inclusive of District 6 artists and others, will help to build the recognition and equitable respect for entertainment (theatre, dance, and music) produced and performed in District 6.
","The events are designed to provide entertainment as well as performing arts and music experiences for community members, especially children who attend schools that can no longer afford to deliver full performing arts and music programming.   Exposure to the arts can be life changing; this has the potential of long-term social impact on the community.   The inclusion of race and ethnic diversity in the performances as well as in the casts and supporting talent also has the potential of creating a pride in the arts and artists of the community (a means of addressing cultural equity).
"

stockton-blvd-mural,149,Lisa Cordell,Microgrant ($5k),Nonprofit,Stockton Blvd Community Development Corporation,Stockton Blvd Mural,Public Art/Installations,"$5,000.00 ","$5,000.00 ",The Stockton Blvd CDC has partnered with Brown Issues to create a mural to introduce the arts to students and the community at large. ,"Stockton Blvd. Mural Project will engage students from Sacramento's Brown Issues Hiram Johnson High School to create murals based on their community, lives, and aspirations.
The after-school engagements with students will allow the students to create a narrative from their community, lives, and aspirations that they'll use to develop the murals' content. After school sessions will include drawing, painting, writing, public presentations, and community engagement workshops.
The project will impact both participants and the community where they live. Mural-making is a long practiced Mexican tradition in which murals that adorned public places were carried social and political messages. In the U.S., the Chicano movement adopted early muralists' strategy of making public art as a way of working for social justice. Seen within this context, we expect taking part in the project will instill pride in the participants as well as in people who live in the community where the students live.
Timeline
	August 2017 - planning meeting with artists, School Program Coordinator, members of Brown Issues.
	Sept - Oct - Brown Issues members recruit youth for the project and start community engagement workshops.
      Oct -Dec - Artists meet with students at Hiram Johnson High School for 13 weeks, 2X/week . Weekend field trip to visit Sacramento murals.
Over the course of the program, students will learn:
	the history of mural-making among Latinos and Chicanos.
	how a mural might be used to reflect or improve a community.
	how to work collaboratively to create a work of art.
	how to develop a narrative and transfer that narrative into a mural.
	how to interact with teachers, other students and community members to cultivate their work.
Program activities that will support the development of these skills and knowledge include:
	assigned reading about the role mural-making plays in culture followed by discussions of the reading and application to their own communities.
	Participating in outreach to community organizations to gather information about what the community finds important.
	viewing examples of murals created to address community  issues and discussions about how murals create meaning in terms of visual style, color choice, etc.
	discussions in small groups about participants lives, aspirations and community followed by making drawings that represent these discussions.
	demonstrations by the teaching and guest artists of drawing, priming, and painting techniques.
	doing exercises to assist small group members to reach consensus about a murals design.
",9/1/17,,"The success of public art can often be hard to measure. We will measure our success based on the project activities, which means, positive
community engagement, increasing the sense of a collective identity, and creating community pride. With time, we will be able to measure tangible items such as, an improved physical appearance, reduction in calls for service (crime activity), a jump start in revitalization, and the development of long term community relationships established through this project. ","Public art can enhance the physical appearance of the environment and celebrate the unique characteristics and identity of a community. Public Art can also reduce crime and instill a sense of pride and ownership with the residents of a community. It is important for neighborhoods to have a positive identity and self-image. The best crime deterrent is a neighborhood which projects the image that the people care and will not tolerate criminal behavior. By improving the physical appearance and reducing crime, the Stockton Blvd corridor will become a more viable and attractive option for residents and businesses to invest.","Brown Issues is a statewide youth advocacy and leadership-based organization devoted to the advancement of our under-served Latino communities through Latino student leadership development in low-income high schools. Over 50% of Hiram Johnson High School students are Latino and much of this population is socioeconomically disadvantaged (2013-14 School Accountability Report Card, SUSD.) "

first-festival,155,Danielle Vincent,Grant ($25k),Individual/Sole Proprietor,First Festival,First Festival ,"Public Art/Installations, Performing Arts/Music, Pop-ups","$25,000.00 ","$45,000.00 ","A festival feat. an all local lineup of music, art, & comedy focused on performances that fairly represent the diversity of our community. ","First Festival is a music and arts festival moving into it's 4th year. In the last 3 years we have featured over 75 diverse bands and music artists and showcased over 50 local artists who work with all mediums. In 2017 we introduced comedy and featured 10 local comedians. First Fest is a multi-stage, multi-day music festival with an all local lineup-- right down to the beer selection. While FF has always been a ticketed event, we have been working toward a goal of making FF free for all community members to attend. We have always focused on making FF accessible to community members regardless of socio-economic background. We emphasize an inclusive environment that focuses on cultural diversity through arts and music by showcasing the diverse local talent found within our region.
First Fest is a place for collaboration and a springboard into more opportunities after the festival. It is a family-friendly atmosphere that crosses genre boundaries, bringing artists and musicians of varying age ranges, career lengths, and expertise together for a multi-day event while forging lasting relationships that affect the local arts scene by perpetuating a more creative, mixed-genre style of performance and show curation.
First Fest creates a platform for underrepresented artists to showcase their work on a large scale in a way that many have never and may never get a chance to do. Moreover, it exposes the community to what can be found within its walls. It encourages guests to take their experience at First Fest and use it as fuel to participate in the local arts scene around the communityto show up to events, to purchase tickets, to buy merchand most of all, to look for arts to support inside of their city at the local level. First Fest has always offered a stipend to performers either by direct payment or by allowing performers to keep 100% of funds collected from their ticket sales. Not only does First Fest drive monetary exchange over the weekend, it also focuses on driving funds generated by the festival back into the pockets of the artists and musicians who participate.
In addition to music and arts, First Fest has featured over 40 local crafters and vendors each year who stimulate a surge in commerce over the weekend. Vendors vary from crafters, to jewelry makers, to bricks and mortar business. We also feature local pop-up food vendors and food trucks. ",12/1/17,5/7/18,"First Fest 2018 will be successful if we are able to match or increase our attendance numbers from the previous year which is likely. In 2017 we had over 3,500 attendees over the weekend. We also measure success based on our ability to hire and pay local artists and musicians. We are also working to pre-fund the festival in order to make it free for all community members to attend. Ultimately, this will allow for the more community members to attend and to spend their money within the festival with our vendors and artists. ","FF spends approx. $45,000 with local vendors for rentals, supplies, artist payments and beer over the 6 month planning period. During the event, approx. $60,000 changes hands via food, beer, merch, and vendor sales.  Overall, FF generates over $100,000 in spending within the city. With a larger reach and increased attendance, this number increases exponentially. Grant funding to pre-fund the festival and allow for free admission would easily double the economic impact of the project immediately. ","We select musicians and artists from diverse backgrounds with deliberate intent. We also always include under-age musicians who are typically underrepresented in the scene because they are unable to play most venues due to age restrictions. The art, comedy, and music lineup is intended to celebrate a unification of art across cultures while placing emphasis on becoming an art-focused community that empowers a just, inclusive, and culturally equitable city. "

pop-up-adventure-play-days,166,Kathy Fleming,Grant ($25k),Nonprofit,Fairytale Town,Pop-Up Adventure Play Days,Pop-ups,"$25,000.00 ","$32,145.00 ","Free fun! The Pop-Up Adventure Play Day offers fun & games for the whole community. Come over & play! Go home energized, inspired & dirty.","Free play is a catalyst for community building, place-making, healthy human development, and literacy acquisition; as such, it drives economic development. That is why we are proposing to produce and promote seven Pop-Up Adventure Play days on the grounds of neighborhood libraries between November 2017 and October 2018.
The Pop-Up Adventure Play Days are free, public celebrations of play, stocked with loose parts (such as cardboard boxes, fabric, tape and string) and staffed by play workers. Materials and tools  from wood, hammers and saws to household items, paints and brushes  are on hand so kids and adults alike can bring their ideas to life. With a little imagination, cardboard boxes and duct tape become forts, helicopters and furniture. With some creative engineering, empty cans, old tires, and used keyboards transform into sculptures or machines. Not only are the individual participants creating their own designs and art, they are creating a sense of place and community.
The Pop-Up Play Days will take place on the grounds of Colonial Heights, Cooledge, Del Paso Heights, King, McKinley, North Natomas, and South Natomas libraries. We are proud to collaborate with these Libraries as they are highly accessible, have the required outdoor space available, and recognize the importance of play to healthy human development and healthy community development. It is also possible to hold the Pop-Up Adventure Play Days in neighborhood streets, vacant lots or uninhabited buildings if preferred.
Popular in other parts of the world, Adventure Play in community settings is rare in the U.S. This unique type of play is brought to Sacramento by Fairytale Town. A nonprofit organization, Fairytale Town has a long history of bringing creative play-based public programs to our community. Most recently, Fairytale Town used Pop-Up Adventure Play Days to build momentum to establish the Sacramento Adventure Playground at Maple Neighborhood Center. We see that these Pop-Up programs are highly replicable and can be used to create shared experiences which energize neighborhoods and build a sense of community.
We would love to have the chance to work, and play, with you to bring this innovative community project to life. We believe that through play, we can inspire greater social connections, encourage economic activity, and strengthen our community.
",11/1/17,10/31/18,"We will measure the success of the Pop-Up Play Days by the number of people who attend, the number of collaborators and volunteers we involve, the feedback we receive from all who participate, and how much traditional and social media engagement we receive. The ultimate measure of success will be whether the Pop-Up Adventure Play Days inspire others to replicate similar activities in their own streets and neighborhoods. ","All funds received for the project will be used locally to hire personnel, purchase or rent supplies and equipment, and promote the program to the community. Food vendors will be on site to provide refreshments  needed fuel for active play. In addition, we will recruit and train youth volunteers to help us implement the project. In these ways, the Play Days encourage economic activity in the neighborhoods we serve. As important, Adventure Play Days at libraries will link the importance of play to the development of literacy skills, a critical component for economic growth in individuals and communities alike.","The need to play is innate. Play promotes physical activity, allows us to burn off steam, increases creativity and collaboration, and gives us opportunities for social interaction  activities that are critical to an individuals physical, mental, and emotional health, and a communitys social and economic health. Despite abundant evidence regarding the importance of play, the space, time and resources for play have diminished in recent years. Thats why projects like the Pop-Up Adventure Play Days are important initiatives for community-building and place-making. Families and communities that play together are stronger, healthier and more vibrant than those who dont. "

dia-de-los-muertos-oak-park-2017-1,167,Claudio Cisneros,Microgrant ($5k),Other (Volunteer Community-Based Organization),D??a de los Muertos Oak Park,Dia de los Muertos Oak Park 2017 (1 of 2),"Public Art/Installations, Performing Arts/Music, Farm-to-Fork, Pop-ups, Temporary Activations, Marketing/Communications, Youth/Education, Cultural Equity, Underserved Communities","$2,500.00 ","$20,000.00 ","D??a de los Muertos Oak Park engages, educates, and connects thousands through lectures, workshops, and a culminating cultural celebration.","Following our dramatically successful first-year celebration, attended by more than 4,000, D??a de los Muertos Oak Park is preparing our second annual observance, featuring a month-long lecture/workshop series and culminating experience that builds community, educates the public, and promotes arts and culture through the traditional Mexican practice of D??a de los Muertos. With a series of lectures, including the Anthropology of D??a de los Muertos, workshops, such as sugar skull making with local artists, and business altars connecting the community with local businesses, the month-long celebration builds cultural awareness and addresses cultural equity, providing a space for the largely unspoken-for Latino community to engage with their Oak Park neighbors. The November 2nd culminating experience is a cultural celebration of D??a de los Muertos, which incorporates traditional musicians, dancers, community and personal altars, as well as pop-up hub of local artists, artisans, and food vendors activating an often-unused public space in a celebration that adheres to Mexican traditions remembering deceased family and friends, and also provides a celebration of life for the living.

The project is multi-pronged in its impact, empowering the 38% Latino population of Oak Park, providing opportunities for those in underserved communities to experience and engage in public art and benefit from local culture and economy. Incorporating over 140 student volunteers, the project not only educates and engages youth, it also provides the opportunity for service learning and civic engagement.

D??a de los Muertos Oak Park is unique in that it is organized and run by an all-volunteer community group. The project employs a network of partners and sponsors that include the Office of Councilmember Jay Schenirer, County Supervisor Phil Serna, Oak Park Business Association, the California Endowment, the Monterey Trail Business District, the Stockton Boulevard Partnership, La Familia Counseling Center, SMUD, Sacramento Republic FC, Crocker Art Museum, the Sacramento Public Library, Sacramento Food Bank & Family Services, Oak Park Neighborhood Association, Wellspring Women's Center, local businesses, non-profits, and faith-based organizations, among others.

Utilizing an effective marketing and communication campaign that incorporates social media, radio, television, and print media, the project targets Sacramento's underserved populations and all those in the Greater Sacramento area, highlighting Oak Park as a destination for arts and culture in the region.

In our first year, D??a de los Muertos Oak Park had a dramatic impact. Your support will enable us to continue innovating and increase the impact of this year's event. Thank you.
",10/2/17,11/10/17,"Project success will be measured through:
1.) Qualitative metrics in the completion of the following expected outcomes:
-	Provide agency to a largely unspoken for Latino population in Oak Park.
-	Build cultural awareness through arts and culture.
-	Promote Oak Park and its business corridor as a go-to destination.
-	Bridge the Oak Park business community with its resident community.
-	Link the communities of Oak Park and Franklin/City Farms.
-	Streamline connections between the City of Sacramento and the
        neighborhood of Oak Park.

2.) Quantitative metrics for success include event attendance and feedback from lecture/workshop and culminating event participants, business partners, and community representatives.
","This project helps Oak Park position itself as a go-to destination for arts and culture in the City of Sacramento. Economic benefits include bridging the business corridor and surrounding community to promote increased foot traffic; reinvigorating public spaces; promoting cross-pollination between artists, community, and businesses; and inviting those outside of Oak Park to become familiar with Oak Park's breadth of amenities. This project incorporates established brick-and-mortar businesses, artists and artisans, food vendors, and small business ventures. Our project considers that a community's health is dependent on the interactions between its residents, visitors, and its businesses.","Oak Park has a Latino demographic of 38% that is largely unspoken for in a community that is already underserved. Our project gives a space to and provides a voice for this Latino community. The community benefits in achieving greater cultural equity and in offering a vehicle for community building across all demographics. D??a de los Muertos, with its ancient culture themes and vibrant, colorful art is a perfect medium to promote the diversity of Oak Park. We will educate youth, non-Latinos, and inspire other ethnic groups and forms of diversity to celebrate their traditions and highlight their cultural presence."

south-oak-park-calfresh-sign,168,Adrian Rehn,Microgrant ($5k),Nonprofit,Sacramento Food Policy Council,South Oak Park CalFresh Sign,"Public Art/Installations, Farm-to-Fork, Temporary Activations, Marketing/Communications, Cultural Equity, Underserved Communities, Youth/Education","$5,000.00 ","$5,000.00 ",Commission local artist to create a 10 ft sign/art piece informing CalFresh users that they can use these benefits at local farmers markets.,"The Sacramento Food Policy Council (SFPC), representing multiple community stakeholders, including Valley Vision, Alchemist CDC, the Sacramento Food Bank & Family Services, Oak Park Farmers Market, and others are collaborating on a CalFresh Outreach at Farmers Markets' project to advance healthy food access in disadvantaged communities in the City of Sacramento. CalFresh (also known as food stamps) usage at farmers markets is currently underutilized, with limited outreach as a main barrier. Our plan is to hire a local artist to create a large sign/public art piece informing recipients of CalFresh benefits that they can use these benefits at their local farmers market.

We have created a Call for Artists (see ""Supplemental Information"" #1). If funded, the selected artist will receive a $2,200 commission and the sign will be located next to the existing Oak Park Farmers Market sign at 33rd St. and 12th Ave, a high-visibility location on City of Sacramento-owned land. It is worth noting that while this sign will be placed next to another sign which promotes the Oak Park Farmers Market, our messaging is applicable to all local farmers markets in Council District 5 and beyond. The sign infrastructure will not be permanent, so a building permit will not be required.

The partners are leaning on the expertise and networks of Valley Vision, who developed the Call for Artists (CFA) for this project, to disseminate the CFA far and wide. Valley Vision has successfully executed two prior CFA processes - for the 80-foot mural on the side of its building and for the Region Rising conference in 2015 - both of which can be viewed in ""Supplemental Information"" #2 and #3.

This project is a fusion of public art and food access with the goal of lifting up a disadvantaged community in South Sacramento. We hope to build more art signs in communities across the City of Sacramento and elsewhere in the County using this scalable model, if additional funding can be secured. We see this project as the tangible start of a larger City and County-wide effort that empowers communities to address food access issues through Creative Economy Pilot focus areas like public art, farm-to-fork, communications, cultural equity, underserved communities, and more in an innovative and collaborative manner. This project exemplifies a genuinely creative Farm-to-Fork Capital that doesn't leave anyone behind.",9/15/17,,"Success will be measured by increased use of CalFresh benefits at local farmers markets, increased inquiries regarding this use, and at least 3 media spotlights (in print, online, or by way of video/radio) regarding this sign and its impact on the community.
The Oak Park Farmers Market, being the closest local farmers market to the sign, will track both CalFresh users who sign up to use their benefits at the market as well as how much money those users spend. A 20% increase in CalFresh use at this market is a goal.","Our mission is to increase the number of CalFresh recipients using their benefits at local farmers markets, which generates $1.79 in economic activity for every dollar spent (USDA). The three zip codes in close proximity to the sign location (95817, 95820, and 95822) have a large number of CalFresh beneficiaries - totaling 16,787 people who could be using their benefits to purchase healthy foods at their local market. Just 1,000 additional farmers market visits by CalFresh users could translate to over $10,000 in additional revenue to farmers market vendors (including farmers, restaurateurs, and pop-up businesses) over one season alone.","This project brings critical information to the disadvantaged South/Central Oak Park area in the form of public art. A direct result of more equitable access to information regarding this particular use of CalFresh benefits is increased access to the healthy, locally-sourced foods found at the farmers market.
Improved health outcomes, social capital, healthy food consumption, and other indicators of community vibrancy are longer-term social impacts that directly address the underserved communities, youth, and cultural equity considerations in this community (which is located in both The California Endowment's 'Building Healthy Communities' area and the federally-designated Sacramento Promise Zone)."
